"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"7119",7119,"7119",45.0101
"7120",7120,"7120",1513.0352
"7139",7139,"7139",72.0034
"7140",7140,"7140",18161.1844
"7150",7150,"7150",503.6592
"7155",7155,"7155",14.9581
"7162",7162,"7162",24.3229
"7163",7163,"7163",21.3361
"7170",7170,"7170",93.1647
"7171",7171,"7171",31.5554
"7172",7172,"7172",241.9126
"7173",7173,"7173",114.874
"7174",7174,"7174",42.5297
"7175",7175,"7175",62.3831
"7176",7176,"7176",62.1658
"7177",7177,"7177",90.3882
"7178",7178,"7178",96.6914
"7179",7179,"7179",51.4124
"7180",7180,"7180",18.7249
"7182",7182,"7182",175.4638
"7183",7183,"7183",12.5638
"7184",7184,"7184",123.9962
"7185",7185,"7185",18.1584
"7186",7186,"7186",82.794
"7187",7187,"7187",26.6414
"7190",7190,"7190",1792.4315
"7209",7209,"7209",1072.6269
"7210",7210,"7210",1144.2132
"7211",7211,"7211",413.3688
"7212",7212,"7212",1082.652
"7213",7213,"7213",1061.0291
"7214",7214,"7214",1376.0028
"7215",7215,"7215",1041.001
"7216",7216,"7216",791.9212
"7248",7248,"7248",38.6759
"7249",7249,"7249",12.5947
"7250",7250,"7250",174.2005
"7252",7252,"7252",495.9901
"7253",7253,"7253",153.8115
"7254",7254,"7254",278.9994
"7255",7255,"7255",1416.2192
"7256",7256,"7256",1095.7407
"7257",7257,"7257",580.4052
"7258",7258,"7258",97.9701
"7259",7259,"7259",483.9124
"7260",7260,"7260",760.429
"7261",7261,"7261",81.7534
"7262",7262,"7262",717.5295
"7263",7263,"7263",352.3637
"7264",7264,"7264",1505.9856
"7265",7265,"7265",195.0655
"7267",7267,"7267",113.8586
"7268",7268,"7268",162.4062
"7270",7270,"7270",265.162
"7275",7275,"7275",340.3101
"7276",7276,"7276",5.9926
"7277",7277,"7277",98.6653
"7290",7290,"7290",10.6892
"7291",7291,"7291",59.4922
"7292",7292,"7292",244.3005
"7300",7300,"7300",110.7075
"7301",7301,"7301",418.4369
"7302",7302,"7302",676.5484
"7303",7303,"7303",295.7173
"7304",7304,"7304",3543.6698
"7305",7305,"7305",124.691
"7306",7306,"7306",1543.3453
"7307",7307,"7307",505.5673
"7310",7310,"7310",373.8262
"7315",7315,"7315",613.6239
"7316",7316,"7316",277.2041
"7320",7320,"7320",32.2927
"7321",7321,"7321",2370.2863
"7322",7322,"7322",26.8891
"7325",7325,"7325",799.9329
"7330",7330,"7330",2296.4486
"7331",7331,"7331",18.0189
"7466",7466,"7466",68.8166
"7467",7467,"7467",144.0971
"7468",7468,"7468",309.9843
"7469",7469,"7469",5893.7056
"7470",7470,"7470",108.051
"9797",9797,"Migratory - Offshore - Shipping (Aust.)",0
"9494",9494,"No usual address (Aust.)",0
